xrate,date
147.2375,2023-01-19
147.3144,2023-01-20
147.41,2023-01-21
147.41,2023-01-22
147.41,2023-01-23
147.8,2023-01-24
147.83,2023-01-25
147.9051,2023-01-26
147.9051,2023-01-27
147.9051,2023-01-28
147.9051,2023-01-29
147.9051,2023-01-30
148.0278,2023-01-31
148.1826,2023-02-01
148.8176,2023-02-02
148.9184,2023-02-03
149.2657,2023-02-04
